disease_nane,number_of_patiants
G93.2 Benign intracranial hypertension,67
I10 Essential (primary) hypertension,41
E78.0 Pure hypercholesterolaemia,20
R51 Headache,20
Z86.7 Personal history of diseases of the circulatory system,20
K21.9 Gastro-oesophageal reflux disease without oesophagitis,18
K44.9 Diaphragmatic hernia without obstruction or gangrene,18
E11.9 Without complications,17
R10.4 Other and unspecified abdominal pain,16
Z86.4 Personal history of psychoactive substance abuse,15
"E66.9 Obesity, unspecified",15
"M17.9 Gonarthrosis, unspecified",14
"E03.9 Hypothyroidism, unspecified",13
"R07.4 Chest pain, unspecified",13
"H47.1 Papilloedema, unspecified",13
"I20.9 Angina pectoris, unspecified",12
"J45.9 Asthma, unspecified",12
Z88.6 Personal history of allergy to analgesic agent,12
R69 Unknown and unspecified causes of morbidity,11
Z82.4 Family history of ischaemic heart disease and other diseases of the circulatory system,11
Z88.0 Personal history of allergy to penicillin,11
"F41.9 Anxiety disorder, unspecified",10
Z88.1 Personal history of allergy to other antibiotic agents,10
Z72.0 Tobacco use,10
Z86.6 Personal history of diseases of the nervous system and sense organs,10
"F32.9 Depressive episode, unspecified",10
Z87.4 Personal history of diseases of the genito-urinary system,10
Z90.7 Acquired absence of genital organ(s),10
"G43.9 Migraine, unspecified",10
Z53.8 Procedure not carried out for other reasons,10
"N39.0 Urinary tract infection, site not specified",10
"N17.9 Acute renal failure, unspecified",10
Z50.1 Other physical therapy,10
Z92.2 Personal history of long-term (current) use of other medicaments,9
Z96.6 Presence of orthopaedic joint implants,9
F17.1 Harmful use,9
A09.9 Gastroenteritis and colitis of unspecified origin,9
"M19.9 Arthrosis, unspecified",9
N83.2 Other and unspecified ovarian cysts,8
"I48.9 Atrial fibrillation and atrial flutter,  unspecified",8
"K52.9 Non-infective gastro-enteritis and colitis, unspecified",8
Z92.1 Personal history of long-term (current) use of anticoagulants,8
Z98.2 Presence of cerebrospinal fluid drainage device,8
K57.3 Diverticular disease of large intestine without perforation or abscess,8
"K57.9 Diverticular disease of intestine, part unspecified, without perforation or abscess",8
"Z88.8 Personal history of allergy to other drugs, medicaments and biological substances",8
K30 Dyspepsia,7
R06.0 Dyspnoea,7
R07.3 Other chest pain,7
N92.0 Excessive and frequent menstruation with regular cycle,7
Z37.0 Single live birth,7
R10.3 Pain localised to other parts of lower abdomen,7
K59.0 Constipation,7
Z11.5 Special screening examination for other viral diseases,7
"D64.9 Anaemia, unspecified",7
Z87.1 Personal history of diseases of the digestive system,7
R55 Syncope and collapse,7
I25.1 Atherosclerotic heart disease,6
"I25.9 Chronic ischaemic heart disease, unspecified",6
J22 Unspecified acute lower respiratory infection,6
"K29.7 Gastritis, unspecified",6
R10.1 Pain localised to upper abdomen,6
K20 Oesophagitis,6
I48 Atrial fibrillation and flutter,6
"R41.0 Disorientation, unspecified",6
