symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
SMAD7	0.45966634100453485	0.7561162270614138	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.75	0	0	0	0	0	0.9061050000000002	No data	-0.4889560325067722	-0.9428795307630791	0	No data	No data	0	-1	-1
POU5F1B	0.36954294563813983	0.6078700850326451	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.011140000000000327	No data	0.872681808710148	No data	0	No data	No data	-0.9025075000000001	0.5	0.5
BMP5	0.333041418566993	0.5478278446747779	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0.6585900000000002	No data	-0.26067930818920604	-0.9280691574491695	0	No data	No data	-0.04735750000000003	1	0
BMP4	0.3189235044917871	0.5246049480380702	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	1	0	0.8651949999999999	0	-0.7113982079599916	-0.9817245102221017	0	No data	No data	-0.04411749999999994	0.5	0
GREM1	0.2972524613377038	0.4889577275991282	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0.8913049999999998	No data	-0.11710773077724523	-0.8120106014998831	0	No data	No data	0	0.5	0
BMP2	0.2800704004293735	0.46069454209210425	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0.5580800000000004	No data	-0.8570535528235049	-0.891535030039029	0	No data	No data	-0.09091000000000005	-1	0
PITX1	0.27564993287300826	0.45342320862169627	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8407649999999997	No data	-0.6045009376953532	-0.879238801579012	0	No data	No data	-0.09235749999999995	0.5	0
PREX1	0.27425393162041195	0.4511268925638805	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.4997	No data	-0.9837466138778912	-0.665972152908533	0	No data	No data	0	0.5	-1
CMIP	0.27389556911998214	0.4505374134622497	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.9159100000000002	No data	-0.9395707439049802	No data	0	No data	No data	No data	-1	-1
SMAD3	0.27291538115470526	0.44892507868808174	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	1	0	1	No data	-0.6261721191914982	-0.8758300600357	0	No data	-1	-0.8058824999999998	-1	-1
MDM4	0.26742642988106424	0.4398961706360378	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	1	1	0	0.20407999999999973	No data	-0.9724942696395082	-0.9094457300248887	0	No data	No data	0	-1	-1
LAMA5	0.2646466205539663	0.4353235953725062	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	1	0	0	0	0	No data	-0.7403625755365701	-0.9669582942257288	0	No data	No data	0	-1	0
BOC	0.25994771642314596	0.4275942548796723	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.3094149999999999	No data	-0.4051885809543655	-0.17669807060708642	0	No data	No data	0	-1	0
TP53	0.2346878259969255	0.3852837396933552	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	0.75	0	0	1	1	0	0	No data	-0.5366743071473223	-0.9868896764809534	0	-1	-1	0	-1	-1
POU2AF3	0.23356908188511652	0.38420340407615444	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.3168368410085435	-0.6653207431744376	0	No data	No data	No data	-1	0
