symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
MC4R	0.8290281196137167	0.6125398707642914	0.9254979665214761	0.9380510896263391	No data	No data	0.7599134970145264	No data	0.607930797611621	No data	No data	No data	No data	No data	0.8920962435928999	No data	No data	No data	No data	No data	No data	0.9574820099041289	No data	0.75189605023625	1	1	0	1	1	0	0.6987949999999998	1	0.685246926443009	-0.9240664811920529	0	-1	No data	-0.021085000000000065	0.75	0.5
POMC	0.7628615312436424	No data	No data	0.8862293690280953	0.8274613634158176	No data	0.8274613634158176	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	0.8528083044821381	No data	0.6771066008997666	No data	0	1	0	0	0	0	No data	0.5271931652427588	-0.9252216392680074	0	No data	No data	No data	1	0
PCSK1	0.7502755923899677	No data	No data	0.8906703630077835	0.7599134970145264	No data	0.607930797611621	0.7599134970145264	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8079839131089324	No data	0.5539700373098576	No data	0	0	1	1	0	0.6281550000000002	No data	-0.22140029172744324	-0.9436059812514671	0	No data	No data	0	0.5	0
LEPR	0.7332122532814165	0.500786086145368	No data	0.8495678216902043	0.793687430215172	No data	0.607930797611621	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	0.4894794200745814	No data	No data	No data	No data	No data	No data	0.7963225467404624	No data	0.7449653726498473	1	1	1	0	0	0	0	No data	-0.7807876640966869	-0.9874207568434712	0	-1	No data	0	1	-1
LEP	0.7182642155233402	No data	No data	0.8449765856405652	0.6839221473130737	No data	0.607930797611621	0.7599134970145264	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.981522797270525	No data	0.6806035628717528	No data	1	1	0	0	0	0.16167500000000032	No data	-0.09845801208585125	-0.9856004644788507	0	-1	No data	No data	0.75	0
PPARG	0.7020045952331697	No data	No data	0.7218487783112786	0.865457038266544	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	0.14543899984528016	No data	No data	No data	No data	No data	No data	0.8124227603882448	No data	0.5635038493792252	1	0	0	0	0	0	0.9157899999999998	1	-0.34007084809335275	-0.9812391714898461	0	-1	-1	0	0.5	0
SCN1A	0.6460201264870679	No data	No data	0.4377101742803672	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9528212229907251	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	1	0	1	1	0	0.9079149999999998	No data	-0.9937486976453428	-0.9660827336174976	0	-1	No data	-0.6864100000000001	0.5	0.5
ADCY3	0.642115859521374	0.6380804705215343	No data	0.4573007786965988	No data	No data	0.7599134970145264	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5447168892915636	No data	0.4505572718608948	No data	1	0	1	1	0	0.7202800000000004	No data	-0.2832881850385497	-0.8974530001243058	0	No data	No data	0	-1	-1
GRIA4	0.63311186118324	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9340873777873989	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	1	0	0	1	1	0	0.9279400000000002	No data	-0.5892894352990206	-0.33816971094433296	0	No data	No data	-0.2849225000000001	0.75	0.5
GLP1R	0.631025750598199	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9858065420118733	No data	No data	No data	No data	No data	No data	0.820068241276702	No data	0.5030770462108622	1	1	0	1	1	0	0.60043	No data	-0.5766826422171285	-0.2711127310234854	0	-1	No data	0	0.5	0.5
