symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
DRD2	0.7103143657919105	0.701532532869257	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9900441350443203	No data	No data	No data	No data	No data	No data	0.13436671918683157	No data	No data	1	1	0	1	1	0	0.7855550000000001	1	-0.5752240050010419	-0.9552199751574719	0	-1	No data	0	0.75	0
GRIN2A	0.6533918001785217	0.4106394473724397	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9698605479509609	No data	No data	No data	No data	No data	No data	0.10167693450960964	No data	No data	1	0	0	1	1	0	0.7643450000000002	1	-0.9013336111689936	-0.32209325976066877	0	-1	-1	0	1	0.5
SLC6A4	0.6311933551537943	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9995659119641428	No data	No data	No data	No data	No data	No data	0.7739845758916654	No data	No data	1	0	0	1	1	0	0.61905	1	-0.591373202750573	-0.9473682708582948	0	-1	No data	0	0.75	0.5
SLC6A3	0.6171258094762234	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9978543798847094	No data	No data	No data	No data	No data	No data	0.3454143285358002	No data	No data	1	0	0	1	1	0	0.67742	0	-0.8223588247551573	-0.8773267414841659	0	-1	No data	-0.16129	1	1
SLC6A2	0.614780934296481	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9992554393176705	No data	No data	No data	No data	No data	No data	0.2402503075359587	No data	No data	1	0	0	1	1	0	0.7082650000000001	0	-0.527714107105647	-0.8541480885180219	0	-1	No data	-0.1693674999999999	0.5	0.5
HTR2A	0.61389176717213	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9960018670695807	No data	No data	No data	No data	No data	No data	0.2760695044509657	No data	No data	1	1	0	1	1	0	0.5753700000000002	1	-0.4718691394040425	-0.17439265309339924	0	-1	No data	0	1	0.5
GABRA1	0.6097491227802967	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9946319583642417	No data	No data	No data	No data	No data	No data	0.16718096934319582	No data	No data	1	1	0	1	1	0	0.923245	No data	-0.6705563659095645	-0.905495670554633	0	-1	No data	-0.3804825000000001	0.75	0.5
HTR2C	0.6086971804993031	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9951618904732167	No data	No data	No data	No data	No data	No data	0.12197502366380872	No data	No data	1	1	0	1	1	0	0.5305700000000002	1	-0.053657011877474514	-0.9010662474293912	0	-1	No data	0	0.75	0.5
GABRG3	0.6083631983252291	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9946319583642417	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	1	1	0	1	1	0	0.796575	No data	-0.645446968118358	No data	0	-1	No data	-0.17023499999999991	0.5	0.5
GABRA2	0.6081784083978868	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9946319583642417	No data	No data	No data	No data	No data	No data	0.115506851546208	No data	No data	1	1	0	1	1	0	0.8891350000000002	No data	-0.8510106272140029	-0.8873353578227341	0	-1	No data	-0.4013300000000001	1	0.5
GABRA5	0.6065152990518056	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9946319583642417	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	1	1	0	1	1	0	0.7727249999999998	0	-0.6651385705355282	-0.8135521146075794	0	-1	No data	-0.2532475000000002	1	0.5
ADRA2A	0.6061457234449036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9929780558426861	No data	No data	No data	No data	No data	No data	0.08171265398564201	No data	No data	1	1	0	1	1	0	0.6021500000000003	0	0.3796624296728486	-0.7860525957530664	0	-1	No data	0	0.5	0
GABRA3	0.6055913494150938	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9946319583642417	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	1	0	1	1	0	0.8069099999999999	No data	-0.25932485934569705	-0.17077894484562928	0	-1	No data	-0.16666750000000013	0.75	0.5
GABRG2	0.6050369796330668	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9946319583642417	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	1	0	1	1	0	0.9578949999999999	No data	-0.6279433215253178	-0.9292136473977292	0	-1	No data	-0.3105274999999999	0.75	0
HTR1A	0.6049660816247331	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.982827335601065	No data	No data	No data	No data	No data	No data	0.24591863441169826	No data	No data	1	1	0	1	1	0	0.40758500000000025	1	-0.2592206709731194	-0.2932470330880932	0	-1	No data	0	0.75	0.5
GABRG1	0.6046673997783821	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9946319583642417	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.7634399999999999	No data	-0.127318191289852	No data	0	-1	No data	-0.3494624999999999	1	0.5
ADRA2C	0.6045858911359927	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9929780558426861	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	1	0	1	1	0	0.5995649999999998	0	-0.3704938528860179	-0.05377051238253633	0	-1	No data	0	0.5	0
ADRA2B	0.603661941499281	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9929780558426861	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.15555499999999967	0	No data	-0.8410782060696528	0	-1	No data	0	-1	0
GRIN2B	0.598315832576654	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9688716880541527	No data	No data	No data	No data	No data	No data	0.30624849114889774	No data	No data	1	1	0	1	1	0	0.9258749999999999	0	-0.9961450302146281	-0.9036682871607882	0	-1	No data	0	1	1
SCN1A	0.5981792309660805	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9833514825371766	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	1	0	1	1	0	0.9079149999999998	No data	-0.9937486976453428	-0.9660827336174976	0	-1	No data	-0.6864100000000001	0.5	0.5
