symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
MIP	0.888549972333332	No data	0.9895472765761225	0.9311742238794019	0.8274613634158176	0.7599134970145264	0.7599134970145264	0.9580964074361958	0.8897742701710087	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2545883246809256	No data	0.9942228831232223	No data	1	0	0	0	0	0.6577950000000001	No data	-0.005730360491769115	0	0	No data	No data	-0.01140749999999997	No data	No data
GJA3	0.8386854375991947	No data	No data	0.930951744040533	0.865457038266544	0.7599134970145264	0.607930797611621	0.9471757543886921	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.20405673756505238	No data	0.9458857896650942	No data	1	0	0	0	0	0	No data	0.6063763284017503	0	0	No data	No data	0	0.5	0.5
EPHA2	0.8158999676762535	No data	No data	0.9078880348627748	0.8126852676405352	0.7599134970145264	0.7599134970145264	0.9066612367713315	0.8274613634158176	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	0.6724872507573891	No data	0.9461542654975801	1	1	0	1	1	1	0.6465150000000002	No data	-0.4280058345488643	-0.7251444661422912	0	-1	No data	0	0.5	0
HSF4	0.8153477639913023	No data	No data	0.9250173891101641	0.8897742701710087	0.8274613634158176	0.607930797611621	0.865457038266544	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21322759339553407	No data	0.9739828342217469	No data	0	0	0	0	0	0.32927000000000034	No data	0.2432798499687434	-0.08158723681407493	0	No data	No data	0	-1	0
BFSP2	0.812154460874343	No data	No data	0.8328336993646094	0.8897742701710087	0.8897742701710087	0.7599134970145264	0.9066612367713315	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1756665813734112	No data	0.9450860819514197	No data	1	0	0	0	0	0.22891499999999992	No data	0.15940821004375905	0	0	No data	No data	0	No data	No data
CRYAB	0.7976533079149084	No data	No data	0.8964196006411392	0.865457038266544	0.7609689324270466	0.7599134970145264	0.865457038266544	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17863742159955012	No data	0.8597837752300173	No data	1	0	1	1	0	0.8857149999999997	No data	0.5616795165659512	-0.16988060322117	0	No data	No data	0	0.5	0
CRYBB3	0.784971948081074	No data	No data	0.8805904145701194	0.8776156542187763	0.8274613634158176	0.607930797611621	0.8274613634158176	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06980734253241443	No data	No data	No data	0	0	0	0	1	0.5971550000000001	No data	0.7627630756407584	0	0	No data	No data	0	-1	0.5
CRYBA1	0.7763699621007413	No data	No data	0.900949405491149	0.8274613634158176	0.7599134970145264	0.607930797611621	No data	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11136876447466613	No data	0.908702241687398	No data	No data	No data	0	0	0	0.7674399999999999	No data	0.11627422379662433	-0.632939079468739	0	No data	No data	0	No data	No data
CRYGC	0.7643537835710714	No data	No data	0.8888945666569521	0.865457038266544	0.865457038266544	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09949189266192499	No data	0.9794860695064932	No data	0	0	0	0	0	0.25287500000000024	No data	0.4614503021462806	-0.6523600780974556	0	No data	No data	-0.48275749999999995	1	1
CRYBB2	0.7599806536816384	No data	0.171679179648125	0.7274060863089048	0.7599134970145264	0.7599134970145264	0.7599134970145264	No data	0.8897742701710087	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15106112267311497	No data	0.9641574792180672	No data	0	0	0	0	0	0.85366	No data	-0.4095644926026255	-0.27325768410839557	0	No data	No data	0	0.5	0.5
FYCO1	0.7592177396677924	No data	No data	0.9148800367406738	0.8274613634158176	0.607930797611621	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10550717519745104	No data	0.5116869469185361	No data	0	0	0	0	0	0	No data	-0.0007293186080433722	-0.2274156554035492	0	No data	No data	0	0.5	-1
GCNT2	0.7486608657426603	No data	No data	0.8677717630871741	No data	0.607930797611621	0.7599134970145264	0.865457038266544	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1091724469848355	No data	No data	No data	0	0	0	0	0	0	No data	0.3051677432798501	-0.19040923792533082	0	No data	No data	0	0.5	0
CRYGS	0.7472871186857649	No data	No data	0.8712871289249663	0.607930797611621	0.607930797611621	0.607930797611621	0.8274613634158176	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11184030029271219	No data	0.9753097041037592	No data	0	0	0	0	0	0.4943800000000003	No data	0.08887268180871022	0	0	No data	No data	0	0.5	0
BFSP1	0.7454311368084151	No data	No data	0.8847593489373665	0.607930797611621	0.7599134970145264	0.607930797611621	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2399049783006235	No data	0.9659005308889194	No data	1	0	0	0	0	0	No data	0.2554698895603251	-0.11063639916225082	0	No data	No data	No data	-1	0
