symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
F10	0.5221650041341107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8589217821922189	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	1	1	1	0	0	No data	0.07553657011877468	-0.8800283700191471	0	No data	No data	0	0.5	0
SCN5A	0.49348549458430274	0.6478970374212485	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6467484388604408	No data	No data	No data	No data	No data	No data	0.09729088067443976	No data	No data	1	1	0	1	1	0	0.7146399999999999	No data	-0.7443217336945197	-0.9769187502023968	0	-1	No data	-0.09056999999999996	1	0.5
CACNA1D	0.4826815563252951	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.79306261245096	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	0	0	1	1	0	0.8195300000000003	No data	-0.8719524901021046	-0.9509097168963865	0	No data	-1	-0.19250250000000016	-1	0
CACNA1C	0.482127186543268	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.79306261245096	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.7521050000000002	No data	-0.9779120650135444	-0.9667394690102562	0	-1	No data	-0.2107099999999999	0.5	0
CACNA1S	0.482127186543268	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.79306261245096	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.5488500000000002	No data	-0.46978537195249015	-0.8929941430254525	0	-1	No data	-0.13107250000000015	0.75	0.5
CACNA1F	0.482127186543268	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.79306261245096	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.6108849999999997	No data	-0.5617837049385288	-0.8199485900453143	0	No data	No data	-0.1696349999999999	1	0.5
KCND3	0.47131734847627893	0.5168932003833879	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6452473751626343	No data	No data	No data	No data	No data	No data	0.03647584785669726	No data	No data	1	1	0	1	1	0	0.9694650000000002	No data	-0.785684517607835	-0.21801978091556873	0	No data	No data	-0.3320599999999999	0.5	0
HCN4	0.4630563598578099	0.6154683068682094	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5792229543910723	No data	No data	No data	No data	No data	No data	0.06383273374922022	No data	No data	1	1	0	1	1	0	0.7506250000000001	No data	-0.8403834132110857	-0.8052460829007265	0	No data	No data	0	0.75	0.5
KCNJ5	0.4545821875836974	0.5482792302888063	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6106833731674737	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.7136049999999997	No data	0.28422588039174834	-0.4025761376112691	0	No data	No data	-0.2541775000000001	0.5	0
PITX2	0.4321838606367153	0.710909633686329	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	No data	No data	-0.8111064805167744	-0.9872809270731692	0	No data	No data	-0.04321000000000001	0.5	0
