symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
APC	0.6404309375324388	No data	0.8174781513545223	0.6991204172533643	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1678098851456303	No data	No data	No data	1	0	1	1	0	0.5233899999999998	No data	-0.9312356740987706	-0.9708563112827364	0	No data	-1	0	0.5	-1
ADRA2C	0.3695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.5995649999999998	0	-0.3704938528860179	-0.05377051238253633	0	-1	No data	0	0.5	0
ADRA1D	0.3695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.2307699999999997	1	0.46488851844134205	-0.8229130970392914	0	No data	No data	0	0.5	0
ADRA1B	0.3695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.7692300000000003	0	-0.1549281100229214	-0.9323474287510244	0	-1	No data	0	0.5	0
ADRB3	0.3695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0	1	0.7413002708897687	-0.10006653173107727	0	-1	No data	0	0.5	0.5
ADRB1	0.3695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.5178199999999997	0	0.644613461137737	-0.5294145467853534	0	-1	No data	0	0.5	0
ADRA2A	0.3695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.6021500000000003	0	0.3796624296728486	-0.7860525957530664	0	-1	No data	0	0.5	0
ADRA2B	0.3695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.15555499999999967	0	No data	-0.8410782060696528	0	-1	No data	0	-1	0
ADRA1A	0.3695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.5922750000000001	0	0.5335486559699938	-0.5954762182301893	0	-1	No data	0	0.5	0
ADRB2	0.3695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.4067799999999998	1	-0.3875807459887477	-0.9089583874335985	0	-1	No data	0	-1	0
SMAD7	0.3429407971395368	0.564111570736092	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.75	0	0	0	0	0	0.9061050000000002	No data	-0.4889560325067722	-0.9428795307630791	0	No data	No data	0	-1	-1
RNF43	0.3400134663099256	No data	No data	0.5592963338026914	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.09961500000000001	No data	-0.661908730985622	-0.19107062098198568	0	No data	-1	0	0.5	0
BMP5	0.3293930512840644	0.5418265575262045	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0.6585900000000002	No data	-0.26067930818920604	-0.9280691574491695	0	No data	No data	-0.04735750000000003	1	0
BMP4	0.31688030549783797	0.5206361100418495	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	1	0	1	0	0.8651949999999999	0	-0.7113982079599916	-0.9817245102221017	0	No data	No data	-0.04411749999999994	0.5	0
PREX1	0.31490419633445865	0.5179934913178003	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.4997	No data	-0.9837466138778912	-0.665972152908533	0	No data	No data	0	0.5	-1
TNS3	0.30877161120677543	0.507905854448972	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.1591700000000003	No data	-0.8956032506772245	-0.6304479880672361	0	No data	No data	0	-1	-1
SMAD3	0.3087090277383884	0.5078029093956321	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	1	0	1	No data	-0.6261721191914982	-0.8758300600357	0	No data	-1	-0.8058824999999998	-1	-1
NXN	0.30720810390222014	0.5053340036549377	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8965499999999998	No data	-0.8673682017086893	-0.92744189850847	0	No data	No data	0	-1	-1
POU2AF3	0.30355196049667965	0.49931992537513287	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.3168368410085435	-0.6653207431744376	0	No data	No data	No data	-1	0
NTN4	0.302161444384396	0.4970326319566277	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0.4904449999999997	No data	-0.697853719524901	-0.42344515444042996	0	No data	No data	0	0.5	0
PMS2	0.29635684597529527	No data	No data	0.48634463808929684	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02279740491043579	No data	No data	No data	0	0	0	0	0	0	No data	0.41560741821212743	-0.7669210880962862	0	No data	-1	0	-1	-1
POU5F1B	0.295920500199692	0.4867667526670395	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.011140000000000327	No data	0.872681808710148	No data	0	No data	No data	-0.9025075000000001	0.5	0.5
BOC	0.2910406638448722	0.4787397924044714	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.3094149999999999	No data	-0.4051885809543655	-0.17669807060708642	0	No data	No data	0	-1	0
PITX1	0.28754547740469977	0.46882007083911964	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0834081054323144	No data	No data	0	0	0	0	0	0.8407649999999997	No data	-0.6045009376953532	-0.879238801579012	0	No data	No data	-0.09235749999999995	0.5	0
GREM1	0.2836680081369819	0.46211719195426804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08990283278679857	No data	No data	No data	0	1	0	0	0	0.8913049999999998	No data	-0.11710773077724523	-0.8120106014998831	0	No data	No data	0	0.5	0
BRAF	0.2828552196814805	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18654520186281692	No data	No data	1	0	0	1	1	1	0.6083550000000002	1	-0.8778912273390289	-0.9692752647997038	0	-1	-1	0	-1	-1
SMAD9	0.2818095251574118	0.4635552702125924	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	No data	No data	-0.0731402375494895	-0.610426109297893	0	No data	No data	-0.5128475000000001	0.5	0
ACAD10	0.27924089204960684	0.45933006379453234	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0.008500000000000086	No data	0.2150448010002084	0	0	No data	No data	0	-1	-1
KRAS	0.27718489101352634	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.5212749999999999	1	0.3895603250677224	-0.9759644324931324	-1	No data	-1	-0.6542549999999998	-1	-1
NID2	0.26474014299177784	0.4354774326812574	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0.039999999999999855	No data	-0.4239424880183371	0	0	No data	No data	0	0.5	0
TTLL13	0.2579533282169183	0.4243136377205104	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	No data	0.3247551573244425	No data	No data	No data	No data	0	1	1
