symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PTGS2	0.5759537191944208	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9466402206254405	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	1	0	0	1	1	0	0.3377499999999998	0	-0.8072515107314024	-0.9747706328107875	0	-1	No data	-0.02317999999999998	0.5	0
SCN4A	0.5724765873618369	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9416805162872597	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.626905	No data	-0.6547197332777662	-0.8611597120123354	0	No data	No data	-0.2715150000000001	0.75	0.5
OPRM1	0.5614678843443529	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9226601395520476	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	1	0	1	1	0	0.575	0	0.4585330277141071	-0.7312691704091201	0	-1	No data	0	0.5	0.5
PTGS1	0.5587754492872904	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9191431845245422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.48247	1	-0.15784538445509477	-0.9397369417042986	0	-1	No data	-0.035892499999999924	0.5	0
SCN8A	0.5355828060805804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8809930475388409	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.9318199999999998	No data	-0.9578037091060637	-0.9489068977715015	0	No data	No data	-0.4267675000000001	0.75	0.5
SCN7A	0.5355828060805804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8809930475388409	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0	No data	-0.15565742863096477	No data	0	No data	No data	0	0.5	0
SCN3A	0.5355828060805804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8809930475388409	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.7399999999999999	No data	-0.9175869972911023	-0.45806794162493086	0	No data	No data	-0.6875	0.5	0.5
SCN1A	0.5355828060805804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8809930475388409	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.9079149999999998	No data	-0.9937486976453428	-0.9660827336174976	0	-1	No data	-0.6864100000000001	0.5	0.5
SCN2A	0.5355828060805804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8809930475388409	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.9027450000000001	1	-0.9605126067930819	-0.7880557324349885	0	No data	No data	-0.6907724999999999	1	0.5
SCN10A	0.5355828060805804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8809930475388409	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.11043000000000021	0	0.13033965409460313	-0.7917212535510667	0	-1	No data	-0.04140999999999995	No data	No data
SCN9A	0.5355828060805804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8809930475388409	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.660465	1	-0.24901021046051264	-0.8488954393501088	0	No data	No data	-0.4693149999999999	0.5	0
SCN11A	0.5355828060805804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8809930475388409	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	1	0	0	No data	-0.10335486559699936	-0.2834589605852611	0	No data	No data	0	0.5	0.5
SCN5A	0.5355828060805804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8809930475388409	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.7146399999999999	No data	-0.7443217336945197	-0.9769187502023968	0	-1	No data	-0.09056999999999996	1	0.5
NR3C1	0.5118988970595356	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8420348155918961	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.7278599708272557	-0.9536043719349752	0	-1	No data	0	-1	-1
SLC6A2	0.49071991816468735	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8071970034954302	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.7082650000000001	0	-0.527714107105647	-0.8541480885180219	0	-1	No data	-0.1693674999999999	0.5	0.5
LMX1B	0.48813370564723	0.8029428802833511	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.9129350000000003	No data	-0.6084600958533029	-0.9346732734589092	0	No data	No data	-0.11691499999999984	1	0.5
FILIP1	0.4645130532148645	0.7625688736274855	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	1	0	0	0	0	0.6908499999999996	No data	-0.25963742446342986	No data	0	No data	No data	0	0.5	0
MAP2K6	0.46223222725882995	0.7603369151140271	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	1	1	1	0.8952100000000002	No data	-0.6802458845592831	No data	0	-1	No data	-0.4910174999999999	0.5	0
ADRB3	0.4619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0	1	0.7413002708897687	-0.10006653173107727	0	-1	No data	0	0.5	0.5
ADRA1B	0.4619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.7692300000000003	0	-0.1549281100229214	-0.9323474287510244	0	-1	No data	0	0.5	0
ADRA1A	0.4619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.5922750000000001	0	0.5335486559699938	-0.5954762182301893	0	-1	No data	0	0.5	0
ADRB1	0.4619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.5178199999999997	0	0.644613461137737	-0.5294145467853534	0	-1	No data	0	0.5	0
