symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
SRD5A2	0.6236291548391518	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9910878323131608	No data	No data	No data	No data	No data	No data	0.6946954660234104	No data	No data	1	0	0	1	1	0	0	0	No data	0	0	No data	No data	0	0.75	0.5
ADRA1D	0.6168091823115431	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9974019524299798	No data	No data	No data	No data	No data	No data	0.3440463247620637	No data	No data	1	1	0	1	1	0	0.2307699999999997	1	0.46488851844134205	-0.8229130970392914	0	No data	No data	0	0.5	0
ADRA1A	0.6136366754221042	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9974965213965779	No data	No data	No data	No data	No data	No data	0.2377842867333293	No data	No data	1	0	0	1	1	0	0.5922750000000001	0	0.5335486559699938	-0.5954762182301893	0	-1	No data	0	0.5	0
ADRA1B	0.6078796715682453	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9973907089902266	No data	No data	No data	No data	No data	No data	0.05050385101158543	No data	No data	1	1	0	1	1	0	0.7692300000000003	0	-0.1549281100229214	-0.9323474287510244	0	-1	No data	0	0.5	0
PDE5A	0.6023694178153187	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.965626934011288	No data	No data	No data	No data	No data	No data	0.5045003703322535	No data	No data	1	0	0	1	1	1	0.6228549999999998	0	-0.48520525109397794	-0.6162600889050437	0	-1	No data	0	-1	-1
SRD5A3	0.5992846058956751	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9717245064243016	No data	No data	No data	No data	No data	No data	0.2810632947024527	No data	No data	1	1	0	0	0	0	0.04087999999999994	No data	0.07866222129610345	-0.7969974440798511	0	No data	No data	No data	-1	-1
SRD5A1	0.5955502072691714	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9717245064243016	No data	No data	No data	No data	No data	No data	0.15820725117989842	No data	No data	1	0	0	1	1	0	0	0	0.4407168160033341	0	0	No data	No data	0	0.5	0
SCN4A	0.5261379875719714	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.865457038266544	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.626905	No data	-0.6547197332777662	-0.8611597120123354	0	No data	No data	-0.2715150000000001	0.75	0.5
CHRM3	0.48627726032816504	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.788199166070067	No data	No data	No data	No data	No data	No data	0.23380005258146927	No data	No data	1	1	0	1	1	0	0.5762700000000003	0	-0.8253802875599083	-0.8246927807968057	0	-1	No data	0	0.5	0
CHRM2	0.47917054770579043	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.788199166070067	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.8175950000000001	0	-0.23577828714315485	-0.7505619177015255	0	-1	No data	0	0.5	0.5
BCL11A	0.4338161125999826	0.7135945642239492	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.9760500000000001	No data	-0.7253594498853928	-0.4936098114603893	0	No data	-1	-0.10179749999999999	0.5	0
