,phen,male_count,female_count,combined_count
0,0,6,5,11
1,0080,0,1,1
2,0090,1,0,1
3,0091,1,0,1
4,0479,1,1,2
5,0529,0,1,1
6,0705,1,1,2
7,0781,0,3,3
8,0788,1,0,1
9,0799,1,0,1
10,0840,0,1,1
11,1,831,839,1670
12,10,310,362,672
13,100,0,1,1
14,1005,0,1,1
15,1007,1,0,1
16,1010,1,0,1
17,102,1,0,1
18,104,0,1,1
19,105,0,1,1
20,106,0,2,2
21,108,2,1,3
22,11,275,309,584
23,112,0,1,1
24,116,1,0,1
25,119,2,0,2
26,12,252,270,522
27,121,1,0,1
28,124,1,1,2
29,13,205,226,431
30,130,0,1,1
31,131,1,0,1
32,1363,1,0,1
33,138,1,1,2
34,14,179,204,383
35,147,2,0,2
36,15,147,194,341
37,16,142,146,288
38,1600,0,1,1
39,17,111,131,242
40,1729,1,0,1
41,1730,1,0,1
42,1733,1,2,3
43,1736,2,0,2
44,1749,0,2,2
45,18,98,115,213
46,1809,0,1,1
47,1869,1,0,1
48,1889,0,1,1
49,189,1,0,1
50,19,91,98,189
51,1939,0,1,1
52,2,1144,1166,2310
53,20,83,94,177
54,2015,1,0,1
55,2019,1,0,1
56,2028,1,1,2
57,2050,0,1,1
58,2059,0,1,1
59,21,62,78,140
60,2102,1,0,1
61,211,0,1,1
62,2113,2,0,2
63,2114,1,0,1
64,2149,3,1,4
65,2156,0,1,1
66,2160,0,1,1
67,2163,1,10,11
68,2164,1,1,2
69,2165,3,1,4
70,2166,0,2,2
71,2167,2,4,6
72,2179,0,4,4
73,2189,0,9,9
74,22,50,72,122
75,2280,1,0,1
76,23,69,84,153
77,230,1,0,1
78,2330,0,1,1
79,2331,0,6,6
80,24,40,49,89
81,2429,0,1,1
82,25,47,44,91
83,2500,1,1,2
84,25000,0,1,1
85,25009,2,0,2
86,2551,0,1,1
87,26,42,53,95
88,27,40,34,74
89,28,32,37,69
90,2809,0,1,1
91,2859,1,1,2
92,29,30,34,64
93,3,916,916,1832
94,30,21,21,42
95,3050,1,0,1
96,31,23,35,58
97,32,26,24,50
98,32.0061,0,1,1
99,3239,1,1,2
100,33,16,15,31
101,33379,1,0,1
102,34,18,18,36
103,3419,1,0,1
104,3459,1,1,2
105,3469,1,1,2
106,35,12,17,29
107,3510,1,0,1
108,3540,1,1,2
109,3556,0,1,1
110,35809,0,1,1
111,36,11,16,27
112,3619,1,0,1
113,3651,1,0,1
114,3669,0,2,2
115,37,9,9,18
116,3727,0,1,1
117,3731,0,1,1
118,3732,0,1,1
119,3733,1,0,1
120,3743,1,0,1
121,3749,0,1,1
122,3780,1,1,2
123,3789,0,1,1
124,3793,0,1,1
125,38,12,11,23
126,38019,1,0,1
127,3819,0,1,1
128,3823,0,1,1
129,3829,1,0,1
130,3833,1,0,1
131,3842,1,1,2
132,3848,0,2,2
133,3853,0,2,2
134,3858,1,0,1
135,3863,2,0,2
136,39,12,12,24
137,4,806,894,1700
138,40,7,11,18
139,4019,1,2,3
140,41,4,9,13
141,4109,6,0,6
142,4139,2,0,2
143,4140,1,0,1
144,4149,2,0,2
145,4151,0,1,1
146,42,9,8,17
147,420,1,0,1
148,4239,2,0,2
149,425,5,3,8
150,4267,1,0,1
151,4273,1,0,1
152,4278,1,1,2
153,4279,1,0,1
154,4290,1,0,1
155,43,9,8,17
156,44,6,3,9
157,445,1,0,1
158,4480,0,1,1
159,4489,0,1,1
160,45,9,3,12
161,4519,1,0,1
162,4549,3,27,30
163,4550,1,0,1
164,4556,7,2,9
165,4558,2,0,2
166,4559,0,2,2
167,46,7,5,12
168,46.4,0,1,1
169,46.4267,0,1,1
170,4639,2,1,3
171,47,4,6,10
172,4709,6,3,9
173,4710,1,0,1
174,4718,2,0,2
175,4719,5,2,7
176,4720,1,0,1
177,4721,1,0,1
178,4739,5,2,7
179,4740,5,2,7
180,4741,1,0,1
181,4748,1,0,1
182,4759,2,0,2
183,4780,1,0,1
184,4781,6,4,10
185,4784,1,0,1
186,4785,1,1,2
187,4789,0,1,1
