Risk factor,ID,Subject,# items,# instances,pickle type,Do we have acsses,notes
Age,21022,Age at recruitment,"502,460",1,main,,
,34,Year of birth,"502,460",1,main,,
Gender,31,Sex,"502,460",1,main,,
Education,6138,Qualifications,"498,725",4,main,,
Residence,20118,Home area population density - urban or rura,"497,359",1,main,,
,26417,Living environment score (England),,,,,
Employment,6142,Current employment status,"501,607",4,main,,
,767,Length of working week for main job,"288,405",4,Employment,,
,757,Time employed in main current job,"288,404",4,Employment,,
,20277,Job code at visit,"339,331",1,Employment,,
Physical activity,884,Number of days/week of moderate physical activity 10+ minutes,"501,599",4,main,,
,904,Number of days/week of vigorous physical activity 10+ minutes,"501,599",4,main,,
,864,Number of days/week walked 10+ minutes,"501,603",4,main,,
,816,Job involves heavy manual or physical work,"288,405",4,Physical activity,,
,104920,Time spent doing light physical activity,,,,,
,104900,Time spent doing vigorous physical activity,,,,,
,22617,Job code - historical,"402,590",1,Physical activity,,
,6164,Types of physical activity in last 4 weeks,"497,095",4,Physical activity,,
,2634,Duration of heavy DIY,"215,665",4,Physical activity,,depends on 6164
,1021,Duration of light DIY,"260,950",4,Physical activity,,depends on 6164
,894,Duration of moderate activity,"418,110",4,Physical activity,,depends on 6164
,3647,Duration of other exercises,"245,841",4,Physical activity,,depends on 6164
,1001,Duration of strenuous sports,"53,706",4,Physical activity,,depends on 6164
,914,Duration of vigorous activity,"304,668",4,Physical activity,,depends on 6164
,874,Duration of walks,"480,068",4,Physical activity,,depends on 6164
,981,Duration walking for pleasure,"359,871",4,Physical activity,,depends on 6164
,2624,Frequency of heavy DIY in last 4 weeks,"215,665",4,Physical activity,,depends on 6164
,1011,Frequency of light DIY in last 4 weeks,"260,950",4,Physical activity,,depends on 6164
,3637,Frequency of other exercises in last 4 weeks,"245,841",4,Physical activity,,depends on 6164
,943,Frequency of stair climbing in last 4 weeks,"496,843",4,Physical activity,,depends on 6164
,991,Frequency of strenuous sports in last 4 weeks,"53,706",4,Physical activity,,depends on 6164
,971,Frequency of walking for pleasure in last 4 weeks,"359,871",4,Physical activity,,depends on 6164
,924,Usual walking pace,"499,709",4,Physical activity,,
Sleep,1160,Sleep duration,"501,590",4,main,,
,1200,Sleeplessness / insomnia,"501,586",4,main,,
,1170,Getting up in morning,"498,708",4,Sleep,,
,1180,Morning/evening person (chronotype),"498,706",4,Sleep,,
,1190,Nap during day,"501,586",4,Sleep,,
,1210,Snoring,"501,586",4,Sleep,,
,20533,Trouble falling asleep,"60,886",1,Sleep,,
,20535,Waking too early,"60,886",1,Sleep,,
,120106,"Trouble falling or staying asleep, or sleeping too much","167,199",1,Sleep,,
,1220,Daytime dozing / sleeping (narcolepsy),"501,586",4,Sleep,,
Smoking,20116,Smoking status,"501,586",4,main,,
,20161,Pack years of smoking,"152,637",4,main,,
,20162,Pack years adult smoking as proportion of life span exposed to smoking,"152,637",4,Smoking,,
,1239,Current tobacco smoking,"501,586",4,Smoking,,
,1249,Past tobacco smoking,"463,704",4,Smoking,,depends on 1249
,2644,"Light smokers, at least 100 smokes in lifetime","141,777",4,Smoking,,depends on 1239
,3436,Age started smoking in current smokers,"141,777",4,Smoking,,depends on 1239
,3446,Type of tobacco currently smoked,"39,518",4,Smoking,,depends on 1239
,5959,Previously smoked cigarettes on most/all days,"2,673",4,Smoking,,depends on 1239
,3456,Number of cigarettes currently smoked daily (current cigarette smokers),"36,728",4,Smoking,,depends on 1239
,6194,Age stopped smoking cigarettes (current cigar/pipe or previous cigarette smoker),"1,813",4,Smoking,,depends on 3446
,6183,Number of cigarettes previously smoked daily (current cigar/pipe smokers),"1,813",4,Smoking,,depends on 3446
,3466,Time from waking to first cigarette,"36,384",4,Smoking,,depends on 1239
,3476,Difficulty not smoking for 1 day,"36,384",4,Smoking,,depends on 1239
,3486,Ever tried to stop smoking,"39,518",4,Smoking,,depends on 1239
,3496,Wants to stop smoking,"39,140",4,Smoking,,depends on 1239
,3506,Smoking compared to 10 years previous,"39,518",4,Smoking,,depends on 1239
,6158,Why reduced smoking,"17,164",4,Smoking,,depends on 1239
,2867,Age started smoking in former smokers,"123,477",4,Smoking,,depends on 1249
,2877,Type of tobacco previously smoked,"123,477",4,Smoking,,depends on 1249
,2887,Number of cigarettes previously smoked daily,"117,999",4,Smoking,,depends on 1249
,2897,Age stopped smoking,"123,477",4,Smoking,,depends on 1249
,2907,Ever stopped smoking for 6+ months,"122,719",4,Smoking,,depends on 1249
,6157,Why stopped smoking,"122,719",4,Smoking,,depends on 1249
,2926,Number of unsuccessful stop-smoking attempts,"122,719",4,Smoking,,depends on 1249
,2936,Likelihood of resuming smoking,"122,719",4,Smoking,,depends on 1249
,1259,Smoking/smokers in household,"461,173",4,Smoking,,depends on 1239
,1269,Exposure to tobacco smoke at home,"464,084",4,Smoking,,depends on 1239
,1279,Exposure to tobacco smoke outside home,"464,084",4,Smoking,,depends on 1239
Diet,21001,Body mass index (BMI),"499,462",4,main,,
,1289,Cooked vegetable intake,"501,584",4,Diet,,
,1299,Salad / raw vegetable intake,"501,584",4,Diet,,
,1309,Fresh fruit intake,"501,584",4,Diet,,
,1319,Dried fruit intake,"501,583",4,Diet,,
,1329,Oily fish intake,"501,583",4,Diet,,
,1339,Non-oily fish intake,"501,583",4,Diet,,
,1349,Processed meat intake,"501,582",4,Diet,,
,1359,Poultry intake,"501,582",4,Diet,,
,1369,Beef intake,"501,582",4,Diet,,
,1379,Lamb/mutton intake,"501,582",4,Diet,,
,1389,Pork intake,"501,580",4,Diet,,
,3680,Age when last ate meat,"21,186",4,Diet,,
