Risk factor,ID,Subject,# items,# instances,pickle type,Do we have acsses,notes
Age,21022,Age at recruitment,502460,Singular,main,,
,34,Year of birth,502460,Singular,main,,
Gender,31,Sex,502460,Singular,main,,
Education,6138,Qualifications,498725,4,main,,
Residence,20118,Home area population density - urban or rural,497359,1,main,,
,26417,Living environment score (England),432626,Singular,main,,
Employment,6142,Current employment status,501607,4,main,,
,767,Length of working week for main job,288405,4,Employment,,
,757,Time employed in main current job,288404,4,Employment,,
,20277,Job code at visit,339331,1,Employment,,
Physical activity,884,Number of days/week of moderate physical activity 10+ minutes,501599,4,main,,
,904,Number of days/week of vigorous physical activity 10+ minutes,501599,4,main,,
,864,Number of days/week walked 10+ minutes,501603,4,main,,
,816,Job involves heavy manual or physical work,288405,4,Physical activity,,
,104920,Time spent doing light physical activity,458471,5,,,
,104900,Time spent doing vigorous physical activity,458471,5,,,
,22617,Job code - historical,402590,Singular,Physical activity,,
,6164,Types of physical activity in last 4 weeks,497095,4,Physical activity,,
,2634,Duration of heavy DIY,215665,4,Physical activity,,depends on 6164
,1021,Duration of light DIY,260950,4,Physical activity,,depends on 6164
,894,Duration of moderate activity,418110,4,Physical activity,,depends on 6164
,3647,Duration of other exercises,245841,4,Physical activity,,depends on 6164
,1001,Duration of strenuous sports,53706,4,Physical activity,,depends on 6164
,914,Duration of vigorous activity,304668,4,Physical activity,,depends on 6164
,874,Duration of walks,480068,4,Physical activity,,depends on 6164
,981,Duration walking for pleasure,359871,4,Physical activity,,depends on 6164
,2624,Frequency of heavy DIY in last 4 weeks,215665,4,Physical activity,,depends on 6164
,1011,Frequency of light DIY in last 4 weeks,260950,4,Physical activity,,depends on 6164
,3637,Frequency of other exercises in last 4 weeks,245841,4,Physical activity,,depends on 6164
,943,Frequency of stair climbing in last 4 weeks,496843,4,Physical activity,,depends on 6164
,991,Frequency of strenuous sports in last 4 weeks,53706,4,Physical activity,,depends on 6164
,971,Frequency of walking for pleasure in last 4 weeks,359871,4,Physical activity,,depends on 6164
,924,Usual walking pace,499709,4,Physical activity,,
Sleep,1160,Sleep duration,501590,4,main,,
,1200,Sleeplessness / insomnia,501586,4,main,,
,1170,Getting up in morning,498708,4,Sleep,,
,1180,Morning/evening person (chronotype),498706,4,Sleep,,
,1190,Nap during day,501586,4,Sleep,,
,1210,Snoring,501586,4,Sleep,,
,20533,Trouble falling asleep,60886,Singular,Sleep,,
,20535,Waking too early,60886,Singular,Sleep,,
,120106,"Trouble falling or staying asleep, or sleeping too much",157305,Singular,Sleep,,
,1220,Daytime dozing / sleeping (narcolepsy),501586,4,Sleep,,
Smoking,20116,Smoking status,501586,4,main,,
,20161,Pack years of smoking,152637,4,main,,
,20162,Pack years adult smoking as proportion of life span exposed to smoking,152637,4,Smoking,,
,1239,Current tobacco smoking,501586,4,Smoking,,
,1249,Past tobacco smoking,463704,4,Smoking,,depends on 1249
,2644,"Light smokers, at least 100 smokes in lifetime",141777,4,Smoking,,depends on 1239
,3436,Age started smoking in current smokers,141777,4,Smoking,,depends on 1239
,3446,Type of tobacco currently smoked,39518,4,Smoking,,depends on 1239
,5959,Previously smoked cigarettes on most/all days,2673,4,Smoking,,depends on 1239
,3456,Number of cigarettes currently smoked daily (current cigarette smokers),36728,4,Smoking,,depends on 1239
,6194,Age stopped smoking cigarettes (current cigar/pipe or previous cigarette smoker),1813,4,Smoking,,depends on 3446
,6183,Number of cigarettes previously smoked daily (current cigar/pipe smokers),1813,4,Smoking,,depends on 3446
,3466,Time from waking to first cigarette,36384,4,Smoking,,depends on 1239
,3476,Difficulty not smoking for 1 day,36384,4,Smoking,,depends on 1239
,3486,Ever tried to stop smoking,39518,4,Smoking,,depends on 1239
,3496,Wants to stop smoking,39140,4,Smoking,,depends on 1239
,3506,Smoking compared to 10 years previous,39518,4,Smoking,,depends on 1239
,6158,Why reduced smoking,17164,4,Smoking,,depends on 1239
,2867,Age started smoking in former smokers,123477,4,Smoking,,depends on 1249
,2877,Type of tobacco previously smoked,123477,4,Smoking,,depends on 1249
,2887,Number of cigarettes previously smoked daily,117999,4,Smoking,,depends on 1249
,2897,Age stopped smoking,123477,4,Smoking,,depends on 1249
,2907,Ever stopped smoking for 6+ months,122719,4,Smoking,,depends on 1249
,6157,Why stopped smoking,122719,4,Smoking,,depends on 1249
,2926,Number of unsuccessful stop-smoking attempts,122719,4,Smoking,,depends on 1249
,2936,Likelihood of resuming smoking,122719,4,Smoking,,depends on 1249
,1259,Smoking/smokers in household,461173,4,Smoking,,depends on 1239
,1269,Exposure to tobacco smoke at home,464084,4,Smoking,,depends on 1239
,1279,Exposure to tobacco smoke outside home,464084,4,Smoking,,depends on 1239
Diet,21001,Body mass index (BMI),499462,4,main,,
,1289,Cooked vegetable intake,501584,4,Diet,,
,1299,Salad / raw vegetable intake,501584,4,Diet,,
,1309,Fresh fruit intake,501584,4,Diet,,
,1319,Dried fruit intake,501583,4,Diet,,
,1329,Oily fish intake,501583,4,Diet,,
,1339,Non-oily fish intake,501583,4,Diet,,
,1349,Processed meat intake,501582,4,Diet,,
,1359,Poultry intake,501582,4,Diet,,
,1369,Beef intake,501582,4,Diet,,
,1379,Lamb/mutton intake,501582,4,Diet,,
,1389,Pork intake,501580,4,Diet,,
,3680,Age when last ate meat,21186,4,Diet,,
,6144,"Never eat eggs, dairy, wheat, sugar",498698,4,Diet,,
,1408,Cheese intake,490243,4,Diet,,
,1418,Milk type used,501511,4,Diet,,
,1428,Spread type,498698,4,Diet,,
,2654,Non-butter spread type details,264427,4,Diet,,
,1438,Bread intake,498698,4,Diet,,
,1448,Bread type,483601,4,Diet,,
,1458,Cereal intake,501480,4,Diet,,
,1468,Cereal type,419169,4,Diet,,
,1478,Salt added to food,501580,4,Diet,,
,1488,Tea intake,501580,4,Diet,,
,1498,Coffee intake,501580,4,Diet,,
,1508,Coffee type,391251,4,Diet,,
,1518,Hot drink temperature,501580,4,Diet,,
,1528,Water intake,501580,4,Diet,,
,1538,Major dietary changes in the last 5 years,501580,4,Diet,,
,1548,Variation in diet,498698,4,Diet,,
Alcohol,20117,Alcohol drinker status,501580,4,main,,
,1558,Alcohol intake frequency.,501580,4,main,,
,3731,Former alcohol drinker,46531,4,Alcohol,,
,4407,Average monthly red wine intake,59790,4,Alcohol,,
,4418,Average monthly champagne plus white wine intake,59790,4,Alcohol,,
,4429,Average monthly beer plus cider intake,59790,4,Alcohol,,
,4440,Average monthly spirits intake,59790,4,Alcohol,,
,4451,Average monthly fortified wine intake,59790,4,Alcohol,,
,4462,Average monthly intake of other alcoholic drinks,"59,790 ",4,Alcohol,,
,1568,Average weekly red wine intake,407951,4,Alcohol,,
,1578,Average weekly champagne plus white wine intake,407950,4,Alcohol,,
,1588,Average weekly beer plus cider intake,407950,4,Alcohol,,
,1598,Average weekly spirits intake,407950,4,Alcohol,,
,1608,Average weekly fortified wine intake,407950,4,Alcohol,,
,5364,Average weekly intake of other alcoholic drinks,177594,4,Alcohol,,
,1618,Alcohol usually taken with meals,467740,4,Alcohol,,
,1628,Alcohol intake versus 10 years previously,540754,4,Alcohol,,
,2664,Reason for reducing amount of alcohol drunk,246698,4,Alcohol,,
,3859,Reason former drinker stopped drinking alcohol,"20,994 ",4,Alcohol,,
Status,6141,How are people in household related to participant,409429,4,main,,
Ethnic,21000,Ethnic background,533489,3,main,,
,20115,Country of Birth (non-UK origin),40560,1,,,
,3659,Year immigrated to UK (United Kingdom),46069,3,,,
Family background,1767,Adopted as a child,587912,4,,,
,20107,Illnesses of father,1259344,4,main,,
,20110,Illnesses of mother,492957,4,main,,
,20111,Illnesses of siblings,434150,4,main,,
,1647,Country of birth (UK/elsewhere),501568,3,Family background,,
,1797,Father still alive,579393,4,Family background,,
,2946,Father's age,"125,920 ",4,Family background,,
,1807,Father's age at death,452202,4,Family background,,
,1835,Mother still alive,579393,4,Family background,,
,1845,Mother's age,221245,4,Family background,,
,3526,Mother's age at death,362471,4,Family background,,
,4501,Non-accidental death in close genetic family,255296,4,Family background,,
Mental,20126,Bipolar and major depression status,"122,943 ",1,Mental,,
,20122,Bipolar disorder status,"1,615 ",1,Mental,,
,20127,Neuroticism score,"401,483 ",1,main,,
,1920,Mood swings,501573,4,Mental,,
,1930,Miserableness,501573,4,Mental,,
,1940,Irritability,"587,908 ",1,Mental,,
,1950,Sensitivity / hurt feelings,587907,4,Mental,,
,1960,Fed-up feelings,587907,4,Mental,,
,1970,Nervous feelings,587907,4,Mental,,
,1980,Worrier / anxious feelings,587906,4,Mental,,
,1990,Tense / 'highly strung',587906,4,Mental,,
